Kabupaten_Kota,RLS,Tahun,AMH
Kab. Sijunjung,7.5,2016,99.67
Kab. Sijunjung,7.72,2017,99.05
Kab. Sijunjung,7.77,2018,99.45
Kab. Sijunjung,8.1,2019,99.06
Kab. Sijunjung,8.11,2020,99.51
Kab. Sijunjung,8.12,2021,99.22
Kab. Sijunjung,8.3,2022,99.49
Kab. Sijunjung,8.57,2023,98.88
Kab. Sijunjung,8.62,2024,99.83
Kab. Sijunjung,8.66,2025,99.07
Kab. Solok,7.16,2010,96.99
Kab. Solok,7.3,2011,96.79
Kab. Solok,7.44,2012,97.12
Kab. Solok,7.53,2013,97.71
Kab. Solok,7.56,2014,97.72
Kab. Solok,7.57,2015,99.37
Kab. Solok,7.58,2016,99.71
Kab. Solok,7.6,2017,99.51
Kab. Solok,7.84,2018,99.72
Kab. Solok,7.85,2019,99.44
Kab. Solok,7.86,2020,99.3
Kab. Solok,7.87,2021,99.85
Kab. Solok,7.89,2022,100.0
Kab. Solok,7.9,2023,99.77
Kab. Solok,7.91,2024,99.97
Kab. Solok,8.25,2025,99.5
Kab. Solok Selatan,7.37,2010,97.91
Kab. Solok Selatan,7.4,2011,96.59
Kab. Solok Selatan,7.44,2012,97.32
Kab. Solok Selatan,7.8,2013,98.17
Kab. Solok Selatan,7.97,2014,98.75
Kab. Solok Selatan,7.98,2015,99.61
Kab. Solok Selatan,7.99,2016,99.86
Kab. Solok Selatan,8.0,2017,99.59
Kab. Solok Selatan,8.15,2018,99.38
Kab. Solok Selatan,8.16,2019,99.28
Kab. Solok Selatan,8.28,2020,99.69
Kab. Solok Selatan,8.32,2021,99.5
Kab. Solok Selatan,8.41,2022,99.73
Kab. Solok Selatan,8.69,2023,99.88
Kab. Solok Selatan,8.85,2024,99.62
Kab. Solok Selatan,9.2,2025,99.37
Kab. Tanah Datar,7.48,2010,98.28
Kab. Tanah Datar,7.58,2011,97.79
Kab. Tanah Datar,7.63,2012,97.17
Kab. Tanah Datar,7.78,2013,98.24
Kab. Tanah Datar,7.8,2014,98.35
Kab. Tanah Datar,7.93,2015,99.78
Kab. Tanah Datar,8.12,2016,100.0
Kab. Tanah Datar,8.14,2017,99.59
Kab. Tanah Datar,8.44,2018,99.36
Kab. Tanah Datar,8.45,2019,99.82
Kab. Tanah Datar,8.61,2020,99.72
Kab. Tanah Datar,8.62,2021,99.67
Kab. Tanah Datar,8.9,2022,100.0
Kab. Tanah Datar,9.02,2023,99.93
Kab. Tanah Datar,9.29,2024,99.84
Kab. Tanah Datar,9.46,2025,99.75
Kota Bukittinggi,10.5,2010,99.92
Kota Bukittinggi,10.56,2011,99.5
Kota Bukittinggi,10.62,2012,99.24
Kota Bukittinggi,10.66,2013,99.63
Kota Bukittinggi,10.71,2014,99.89
Kota Bukittinggi,10.79,2015,99.66
Kota Bukittinggi,10.98,2016,100.0
Kota Bukittinggi,11.3,2017,99.89
Kota Bukittinggi,11.31,2018,99.93
Kota Bukittinggi,11.32,2019,99.7
Kota Bukittinggi,11.33,2020,99.96
Kota Bukittinggi,11.34,2021,99.68
Kota Bukittinggi,11.63,2022,99.37
Kota Bukittinggi,11.64,2023,99.78
Kota Bukittinggi,11.65,2024,99.7
Kota Bukittinggi,11.66,2025,99.79
Kota Padang,10.34,2010,99.4
Kota Padang,10.52,2011,98.89
Kota Padang,10.75,2012,99.51
Kota Padang,10.89,2013,99.39
Kota Padang,10.93,2014,99.74
Kota Padang,10.97,2015,99.97
Kota Padang,11.24,2016,100.0
Kota Padang,11.32,2017,99.73
Kota Padang,11.33,2018,99.69
Kota Padang,11.34,2019,99.88
Kota Padang,11.58,2020,99.9
Kota Padang,11.59,2021,99.74
Kota Padang,11.6,2022,99.56
Kota Padang,11.62,2023,99.81
Kota Padang,11.63,2024,99.65
Kota Padang,11.64,2025,99.95
Kota Padang Panjang,10.0,2010,99.58
Kota Padang Panjang,10.19,2011,98.14
Kota Padang Panjang,10.36,2012,99.25
Kota Padang Panjang,10.53,2013,99.33
Kota Padang Panjang,10.79,2014,99.87
Kota Padang Panjang,11.09,2015,99.63
Kota Padang Panjang,11.42,2016,99.84
Kota Padang Panjang,11.43,2017,99.94
Kota Padang Panjang,11.44,2018,99.47
Kota Padang Panjang,11.45,2019,100.0
Kota Padang Panjang,11.62,2020,99.94
Kota Padang Panjang,11.63,2021,99.95
Kota Padang Panjang,11.92,2022,99.88
Kota Padang Panjang,11.94,2023,99.89
Kota Padang Panjang,12.0,2024,99.96
Kota Padang Panjang,12.01,2025,99.88
Kota Pariaman,8.98,2010,99.47
Kota Pariaman,9.27,2011,98.51
Kota Pariaman,9.32,2012,99.1
Kota Pariaman,9.88,2013,99.61
Kota Pariaman,9.94,2014,99.97
Kota Pariaman,9.96,2015,99.75
Kota Pariaman,10.09,2016,99.91
Kota Pariaman,10.1,2017,99.66
Kota Pariaman,10.36,2018,99.58
Kota Pariaman,10.37,2019,99.55
Kota Pariaman,10.59,2020,99.26
Kota Pariaman,10.67,2021,99.61
