Kabupaten_Kota,RLS,Tahun,AMH,Status,RLS_lower,RLS_upper,AMH_lower,AMH_upper
Kab. Kepulauan Mentawai,7.09,2020,98.1,Actual,7.09,7.09,98.1,98.1
Kab. Kepulauan Mentawai,7.2,2021,98.76,Actual,7.2,7.2,98.76,98.76
Kab. Kepulauan Mentawai,7.48,2022,98.46,Actual,7.48,7.48,98.46,98.46
Kab. Kepulauan Mentawai,7.76,2023,99.66,Actual,7.76,7.76,99.66,99.66
Kab. Kepulauan Mentawai,8.03,2024,99.33,Actual,8.03,8.03,99.33,99.33
Kab. Kepulauan Mentawai,8.21,2025,99.14,Actual,8.21,8.21,99.14,99.14
Kab. Kepulauan Mentawai,8.38950815011755,2026,98.95051855943339,Forecast,8.334687689618939,8.44883824087678,97.5378908788704,100.25239260429821
Kab. Kepulauan Mentawai,8.56901634566193,2027,98.7610375977683,Forecast,8.393671476929628,8.753463571561847,94.31166782999901,103.10372076111004
Kab. Kepulauan Mentawai,8.74852454120631,2028,98.5715566361032,Forecast,8.420818388485237,9.126949057461667,89.68531152132924,107.13787273208719
Kab. Kepulauan Mentawai,8.928524540026153,2029,98.38155654851572,Forecast,8.410940337801064,9.534004205096826,84.78077741687402,111.50298000108626
Kab. Kepulauan Mentawai,9.108032735570532,2030,98.19207558685062,Forecast,8.38242789169494,9.973006057520237,79.90253531682366,117.06620289177404
Kab. Kepulauan Mentawai,9.287540931114911,2031,98.00259462518552,Forecast,8.299703940387866,10.424479234112564,74.24268810360788,122.48102229052581
Kab. Kepulauan Mentawai,9.46704912665929,2032,97.81311366352043,Forecast,8.223498172231396,10.910611734383123,67.62091671772855,128.99486508208025
Kab. Kepulauan Mentawai,9.647049125479136,2033,97.62311357593295,Forecast,8.111987256589039,11.357417455383414,59.69219489870325,136.1828204557202
Kab. Kepulauan Mentawai,9.826557321023515,2034,97.43363261426785,Forecast,7.984286184578041,11.842464338783381,52.41838449441053,142.90955197818784
Kab. Kepulauan Mentawai,10.006065516567892,2035,97.24415165260275,Forecast,7.853252136492928,12.359433266482451,45.33193065188585,151.56881017454717
Kab. Lima Puluh Kota,7.37,2010,97.82,Actual,7.37,7.37,97.82,97.82
Kab. Lima Puluh Kota,7.4,2011,97.84,Actual,7.4,7.4,97.84,97.84
Kab. Lima Puluh Kota,7.52,2012,98.56,Actual,7.52,7.52,98.56,98.56
Kab. Lima Puluh Kota,7.58,2013,99.51,Actual,7.58,7.58,99.51,99.51
Kab. Lima Puluh Kota,7.59,2014,99.75,Actual,7.59,7.59,99.75,99.75
Kab. Lima Puluh Kota,7.91,2015,99.92,Actual,7.91,7.91,99.92,99.92
Kab. Lima Puluh Kota,7.92,2016,99.85,Actual,7.92,7.92,99.85,99.85
Kab. Lima Puluh Kota,7.96,2017,98.96,Actual,7.96,7.96,98.96,98.96
Kab. Lima Puluh Kota,7.97,2018,99.74,Actual,7.97,7.97,99.74,99.74
Kab. Lima Puluh Kota,7.98,2019,99.51,Actual,7.98,7.98,99.51,99.51
Kab. Lima Puluh Kota,7.99,2020,99.77,Actual,7.99,7.99,99.77,99.77
Kab. Lima Puluh Kota,8.07,2021,99.53,Actual,8.07,8.07,99.53,99.53
Kab. Lima Puluh Kota,8.08,2022,99.79,Actual,8.08,8.08,99.79,99.79
